x,Curve1
35.683,0.07627
37.702,0.2991
38.793,0.76522
39.616,1.33659
40.334,1.72262
40.651,2.24635
41.254,2.52772
41.788,3.35757
41.845,2.91394
42.367,3.83252
43.437,4.46804
43.519,4.82275
44.108,5.22511
44.265,5.99907
44.435,5.66817
45.598,6.57775
46.314,6.97991
47.657,7.47793
48.38,7.8317
49.236,8.13688
50.475,8.45763
52.889,8.58309
55.324,8.54724
57.408,8.2619
60.131,7.97561
62.35,7.63362
64.579,7.21097
66.678,6.79658
69.434,6.26025
71.528,5.88618
73.128,5.38382
75.986,5.04088
77.695,4.68352
79.147,4.33459
81.11,3.99298
83.834,3.69863
85.802,3.31669
88.147,2.98258
89.957,2.83474
92.044,2.5252
94.765,2.25505
97.737,2.02485
100.466,1.69017
103.947,1.48341
107.557,1.26033
111.551,1.04475
116.56,0.89218
121.314,0.73193
128.117,0.55252
134.274,0.42244
144.27,0.2867
151.055,0.25247
157.843,0.19405
163.345,0.18591
171.151,0.16631
178.7,0.16321
