x,Curve1
-71.509,7.17387
-64.466,7.14289
-63.04,6.97101
-62.403,6.7342
-61.754,6.52106
-61.639,6.24884
-61.083,5.85228
-60.161,5.68051
-59.806,5.38458
-58.968,5.04713
-58.963,4.55601
-58.881,4.21871
-58.752,3.97609
-58.543,4.39025
-58.361,4.75116
-57.596,3.76876
-57.272,2.9107
-57.214,3.52608
-57.099,3.25387
-56.866,2.71536
-55.983,2.46666
-55.34,2.24168
-55.146,1.62626
-54.97,1.97534
-54.875,2.16467
-54.82,1.77413
-54.204,1.4959
-53.789,1.3183
-51.334,1.18764
-47.268,1.25193
-44.133,1.47024
-41.481,1.73008
-38.544,2.05494
-37.413,2.29732
-34.467,2.63993
-31.756,3.0181
-27.801,3.36051
-26.911,3.62661
-25.513,3.89852
-24.166,4.06986
-20.002,4.32939
-18.637,4.53622
-16.738,4.80212
-12.331,5.04385
-10.195,5.28012
-7.072,5.47477
-3.192,5.66927
-1.089,5.84045
3.547,6.0348
8.93,6.21126
11.774,6.35271
17.134,6.48183
21.731,6.59926
25.806,6.6813
32.413,6.78651
39.513,6.86795
47.351,6.91374
55.193,6.96545
61.753,6.97599
68.583,7.02198
74.893,7.03848
82.224,7.07846
88.52,7.06538
97.088,7.05777
107.426,7.06165
116,7.06588
123.808,7.0525
