x,Curve1
-150.111,2.97658
-148.608,2.36442
-148.062,2.65817
-146.765,1.97918
-145.916,1.54651
-143.574,1.18166
-142.457,0.73587
-141.011,-0.13634
-140.851,0.32378
-139.343,-0.62838
-138.55,-1.32109
-138.334,-0.93426
-137.212,-1.72005
-135.045,-2.1917
-132.724,-2.5299
-131.267,-3.0821
-131.149,-3.56867
-129.285,-3.98056
-128.575,-4.23334
-123.078,-4.34906
-119.732,-4.17979
-117.298,-3.83123
-114.531,-3.41241
-111.842,-2.89365
-110.107,-2.47231
-106.859,-2.00978
-105.969,-1.49575
-101.182,-1.02536
-100.961,-0.64519
-98.336,-0.04315
-95.814,0.35881
-89.864,0.99011
-83.347,1.55517
-77.763,1.99285
-65.785,2.48883
-44.826,2.6918
-21.011,2.86366
4.226,2.86329
34.578,2.90689
