x,Curve1
110.923,0.84301
112.922,0.77817
114.521,0.72972
116.747,0.8057
118.086,0.73966
122.15,0.86694
124.564,0.73436
127.438,0.85948
129.983,0.73056
133.135,0.80481
136.309,0.79691
140.131,0.83814
142.794,0.76423
143.601,0.71091
145.424,0.81356
146.601,0.86023
148.352,0.73329
150.584,0.79216
151.878,0.89384
154.014,0.81555
154.561,0.74463
157.442,0.84578
159.444,0.77067
162.212,0.7997
165.385,0.79522
169.084,0.79856
172.384,0.81486
175.553,0.82407
178.863,0.80272
181.124,0.74863
183.998,0.87374
186.02,0.72332
189.808,0.89463
193.152,0.73978
195.639,0.83336
199.099,0.74379
202.763,0.88062
205.435,0.77248
208.047,0.89027
210.86,0.74472
216.258,0.82307
218.777,0.79343
221.925,0.88479
225.256,0.78129
227.752,0.83722
230.811,0.76404
233.559,0.86837
236.362,0.7639
239.239,0.87875
243.101,0.76936
246.379,0.86439
249.308,0.78412
252.067,0.84738
254.203,0.76567
257.34,0.89811
260.676,0.77749
262.111,0.8486
264.505,0.78791
266.729,0.87416
269.663,0.77678
273.071,0.88232
277.054,0.81083
279.945,0.87433
282.619,0.75935
285.479,0.93923
287.637,0.77194
290.899,0.93201
