x,Curve1
-68.42,-3.44762
-68.358,-3.04405
-68.256,-2.70476
-68.141,-3.20756
-68.076,-2.88
-66.582,-3.26437
-64.728,-2.99922
-62.969,-2.76342
-62.802,-3.09657
-62.596,-2.956
-61.832,-3.3353
-60.82,-3.17632
-59.633,-3.04054
-57.432,-2.82181
-57.395,-3.27206
-56.885,-3.0376
-55.326,-3.0944
-53.776,-2.92315
-52.752,-3.06825
-52.322,-3.24323
-49.861,-3.02129
-48.351,-2.82377
-48.185,-3.38792
-47.983,-3.13332
-47.845,-2.97527
-46.05,-3.18972
-44.743,-2.93978
-43.25,-2.78614
-42.31,-2.99565
-42.274,-3.1769
-41.873,-3.36068
-39.347,-3.0802
-37.369,-2.77691
-37.025,-2.97829
-36.295,-3.21435
-33.806,-2.98361
-32.195,-3.13978
-29.688,-2.86516
-27.8,-3.24326
-23.445,-2.78245
-22.734,-3.29338
-18.61,-2.82697
-17.53,-3.18546
-14.397,-2.94818
-12.421,-3.10688
-8.497,-2.93309
-6.721,-3.1534
-3.529,-2.93653
-2.437,-3.0991
0.6,-2.85316
1.258,-3.22672
4.579,-2.89275
7.992,-3.18441
11.697,-2.8091
12.757,-3.13545
14.661,-2.93165
16.552,-3.11676
19.892,-2.77692
20.401,-3.27345
25.319,-2.71554
26.67,-3.10591
31.443,-2.785
32.574,-3.20484
37.233,-2.68815
37.755,-3.25777
41.675,-2.73895
